Variable / Field Name	Form Name	Section Header	Field Type	Field Label	Choices, Calculations, OR Slider Labels	Field Note	Text Validation Type OR Show Slider Number	Text Validation Min	Text Validation Max	Identifier?	Branching Logic (Show field only if...)	Required Field?	Custom Alignment	Question Number (surveys only)	Matrix Group Name	Matrix Ranking?	Field Annotation
impairment_reduced_days_past_month	quality_of_life_and_care		text	In the past 30 days, not counting the days that you were totally unable, for how many days did you cut back or reduce your usual activities or work because of any health condition?		Days | | PX0610102	number										
scoring_610102	quality_of_life_and_care		descriptive	Scoring: There are two basic options for computing the summary scores for the WHODAS 2.0 short version. Simple: The scores assigned to each of the items-"none" (1), "mild" (2) "moderate" (3), "severe" (4) and "extreme" (5) -are summed. This method is referred to as simple scoring because the scores from each of the items are simply added up without recoding or collapsing of response categories; thus, there is no weighting of individual items. This approach is practical to use as a hand-scoring approach and may be the method of choice in busy clinical settings or in paper-pencil interview situations. As a result, the simple sum of the scores of the items across all domains constitutes a statistic that is sufficient to describe the degree of functional limitations. Complex: The more complex method of scoring is called "item-response-theory" (IRT)-based scoring. It takes into account multiple levels of difficulty for each WHODAS 2.0 item. It takes the coding for each item response as "none," "mild," "moderate," "severe," and "extreme" separately and then uses an algorithm to determine the summary score by differentially weighting the items and the levels of severity. The SPSS algorithm is available from WHO. The scoring has three steps: ? Step 1 - Summing of recoded item scores within each domain. ? Step 2 - Summing of all six domain scores. ? Step 3 - Converting the summary score into a metric ranging from 0 to 100 (where 0 = no disability; 100 = full disability).		PX0610102											
memory_task_correct_detections	quality_of_life_and_care	Motor and attentional impulsivity (immediate and delayed)	text	A target stimulus is a 5-digit number that is identical to the preceding number. Responses to target stimuli are recorded as correct detections. How many correct detections were made by the participant?		PX530602	number										
memory_task_filler_errors	quality_of_life_and_care		text	A filler stimulus is a random 5-digit number that appears whenever a target or catch trial is not scheduled to appear. Responses to filler stimuli are recorded as filler errors. How many filler errors were made by the participant?		PX530602	number										
memory_task_correct_detections_rate	quality_of_life_and_care		text	What is the rate of correct detections?		PX530602											
memory_task_commission_error_rate	quality_of_life_and_care		text	What is the rate of commision error responses to catch stimuli?		PX530602											
memory_task_filler_errors_rate	quality_of_life_and_care		text	What is the rate of filler errors?		PX530602											
memory_task_stimulus_discriminability	quality_of_life_and_care		text	What are the parametric and non-parametric indices or stimulus discriminability?		PX530602											
memory_task_response_bias	quality_of_life_and_care		text	What are the parametric and non-parametric indices of response bias (i.e. liberal or conservative resppon		PX530602											
pediatricschool_performance_current_grade	quality_of_life_and_care	Pediatric school performance	text	1.  What is your child's current grade?		PX0840201	number										
pediatricschool_performance_year	quality_of_life_and_care		text	2.  What is your child's current age? Years		years | | PX0840201											
pediatricschool_perfo2_mo	quality_of_life_and_care		text	2A.  What is your child's current age?  Months		years | | PX0840201											
pediatricschool_performance_repeat_grade	quality_of_life_and_care		radio	3.  Has your child ever been held back or repeated a grade?	1, Yes | 0, No	PX0840201											
pediatricschool_performance_repeat_grade_number	quality_of_life_and_care		radio	3A.  How many grades?	1, 1 | 2, 2 | 3, 3 or more	PX0840201											
pediatricschool_performance_repeat_grade_whichones1	quality_of_life_and_care		text	3B.  Which grade(s)? (List up to 3 most recent grades - use a COMMA in between grades if more than one)		PX0840201	number										
pediatricschool_performance_learning_accommodations	quality_of_life_and_care		checkbox	4.  Does your child have any accommodations because of learning differences? Check all that apply	A, Special Education Services | B, 504 Plan | C, IEP-individualized education plan | D, Special tutoring or classes not available to regular students | E, Other; describe below | F, My child does not receive any accommodation for learning differences	PX0840201											
pediatricschool_performance_learning_accommodationsother	quality_of_life_and_care		text	Does your child have any accommodations because of learning differences? Other		PX0840201											
sleep_apnea_height	phenotype	Sleep apnea (Adult Protocol)	text	Height (m)		PX091501	number										
sleep_apnea_weight	phenotype		text	Weight (kg)		PX091501	number										
sleep_apnea_age	phenotype		text	Age		PX091501	number										
sleep_apnea_gender	phenotype		radio	Gender	1, Male | 0, Female	PX091501											
sleep_apnea_snore	phenotype		radio	CATEGORY 1  Do you snore?	1, Yes | 0, No | -997, Truly unknown	PX091501											
sleep_apnea_snore_loudness	phenotype		radio	CATEGORY 1  Your snoring is	1, What options go here?	PX091501					[sleep_apnea_snore] = 'UNDEFINED_CODE'						
sleep_apnea_snore_frequency	phenotype		radio	CATEGORY 1  How often do you snore?	0,Nearly every day|1,3-4 times a week|2,1-2 times a week|3,1-2 times a month|4,Never or nearly never	PX091501					[sleep_apnea_snore] = 'UNDEFINED_CODE'						
sleep_apnea_snore_bother_other	phenotype		radio	CATEGORY 1  Has your snoring ever bothered other people?	1, Yes | 0, No | -997, Truly unknown	PX091501					[sleep_apnea_snore] = 'UNDEFINED_CODE'						
sleep_apnea_quit_breathing_sleep	phenotype		radio	CATEGORY 1  Has anyone noticed that you quit breathing during your sleep?	0,Nearly every day|1,3-4 times a week|2,1-2 times a week|3,1-2 times a month|4,Never or nearly never	PX091501											
sleep_apnea_tired_fatigued_after	phenotype		radio	CATEGORY 2  How often do you feel tired or fatigued after your sleep?	0,Nearly every day|1,3-4 times a week|2,1-2 times a week|3,1-2 times a month|4,Never or nearly never	PX091501											
sleep_apnea_tired_fatigued_waking	phenotype		radio	CATEGORY 2  During your waking time, do you feel tired, fatigued, or not up to par?	0,Nearly every day|1,3-4 times a week|2,1-2 times a week|3,1-2 times a month|4,Never or nearly never	PX091501											
sleep_apnea_nodded_asleep_driving	phenotype		radio	CATEGORY 2  Have you ever nodded off or fallen asleep while driving a vehicle?	1, Yes | 0, No	PX091501											
sleep_apnea_asleep_driving_frequency	phenotype		radio	CATEGORY 2  How often does this occur?	0,Nearly every day|1,3-4 times a week|2,1-2 times a week|3,1-2 times a month|4,Never or nearly never	PX091501					[sleep_apnea_nodded_asleep_driving] = 'UNDEFINED_CODE'						
sleep_apnea_high_blood_pressure	phenotype		radio	CATEGORY 3  Do you have high blood pressure?	1, Yes | 0, No | -997, Truly unknown	PX091501											
interview_date	phenotype	Sleep apnea (Child Protocol)	text	Today's date		PX091502	date_dmy										
interview_location	phenotype		text	Where are you completing this questionnaire?		PX091502											
child_gender	phenotype		radio	Sex	1, Male | 0, Female	PX091502											
child_snore_ever	phenotype		radio	Nighttime and sleep behavior: WHILE SLEEPING, DOES YOUR CHILD ever snore?	1, Yes | 0, No | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown	PX091502											
child_snore_more_half_time	phenotype		radio	Nighttime and sleep behavior: WHILE SLEEPING, DOES YOUR CHILD snore more than half the time?	1, Yes | 0, No | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown	PX091502											
child_always_snore	phenotype		radio	Nighttime and sleep behavior: WHILE SLEEPING, DOES YOUR CHILD always snore?	1, Yes | 0, No | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown	PX091502											
child_snore_loudly	phenotype		radio	Nighttime and sleep behavior: WHILE SLEEPING, DOES YOUR CHILD snore loudly?	1, Yes | 0, No | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown	PX091502											
child_heavy_loud_breathing	phenotype		radio	Nighttime and sleep behavior: WHILE SLEEPING, DOES YOUR CHILD have "heavy" or loud breathing"?	1, Yes | 0, No | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown	PX091502											
child_trouble_struggle_breathing	phenotype		radio	Nighttime and sleep behavior: WHILE SLEEPING, DOES YOUR CHILD have trouble breathing, or struggle to breathe?	1, Yes | 0, No | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown	PX091502											
child_stop_breathing_night_ever	phenotype		radio	Nighttime and sleep behavior HAVE YOU EVER seen your child stop breathing during the night?	1, Yes | 0, No | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown	PX091502											
child_stop_breathing_night_ever_describe	phenotype		text	If so, please describe what has happened:		PX091502					[child_stop_breathing_night_ever] = 'UNDEFINED_CODE'						
child_stop_breathing_night_description	phenotype		radio	Nighttime and sleep behavior HAVE YOU EVER been concerned about your child's breathing during sleep?	1, Yes | 0, No | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown	PX091502											
shake_wake_sleeping_child_breathe	phenotype		radio	Nighttime and sleep behavior: HAVE YOU EVER had to shake your sleeping child to get him or her to breathe, or wake up and breathe?	1, Yes | 0, No | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown	PX091502											
child_wake_snoring_sound_ever	phenotype		radio	Nighttime and sleep behavior HAVE YOU EVER seen your child wake up with a snorting sound?	1, Yes | 0, No | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown	PX091502											
child_restless_sleep	phenotype		radio	Nighttime and sleep behavior DOES YOUR CHILD have restless sleep?	1, Yes | 0, No | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown	PX091502											
child_restless_legs_in_bed	phenotype		radio	Nighttime and sleep behavior DOES YOUR CHILD describe restlessness of the legs when in bed?	1, Yes | 0, No | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown	PX091502											
child_growing_unexplained_leg_pains	phenotype		radio	Nighttime and sleep behavior: DOES YOUR CHILD have "growing pains" (unexplained leg pains)?	1, Yes | 0, No | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown	PX091502											
child_growing_pains_worst_bed	phenotype		radio	Nighttime and sleep behavior: DOES YOUR CHILD have "growing pains" that are worst in bed?	1, Yes | 0, No | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown	PX091502											
child_legs_brief_kicks	phenotype		radio	Nighttime and sleep behavior: WHILE YOUR CHILD SLEEPS, HAVE YOU SEEN brief kicks of one leg or both legs?	1, Yes | 0, No | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown	PX091502											
child_legs_repeated_kicks_regular	phenotype		radio	Nighttime and sleep behavior: WHILE YOUR CHILD SLEEPS, HAVE YOU SEEN repeated kicks or jerks of the legs at regular intervals (i.e., about every 20 to 40 seconds)?	1, Yes | 0, No | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown	PX091502											
child_night_sweaty_wet_perspiration	phenotype		radio	Nighttime and sleep behavior: AT NIGHT, DOES YOUR CHILD USUALLY become sweaty, or do the pajamas usually become wet with perspiration?	1, Yes | 0, No | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown	PX091502											
child_night_get_out_bed	phenotype		radio	Nighttime and sleep behavior: AT NIGHT, DOES YOUR CHILD USUALLY get out of bed (for any reason)?	1, Yes | 0, No | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown	PX091502											
child_night_urinate	phenotype		radio	Nighttime and sleep behavior: AT NIGHT, DOES YOUR CHILD USUALLY get out of bed to urinate?	1, Yes | 0, No | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown	PX091502											
child_night_urinate_times	phenotype		text	If YOUR CHILD USUALLY gets out of bed to urinate, how many times each night, on average?		PX091502	number				[child_night_urinate] = 'UNDEFINED_CODE'						
child_sleep_mouth_open	phenotype		radio	Does your child usually sleep with the mouth open?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_congested_stuffed_nose_night	phenotype		radio	Is your child's nose usually congested or "stuffed" at night?	1, Yes | 0, No | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown	PX091502											
child_allergies_affect_breathe_nose	phenotype		radio	Do any allergies affect your child's ability to breathe through the nose?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_breathe_through_mouth_day	phenotype		radio	DOES YOUR CHILD tend to breathe through the mouth during the day?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_dry_mouth_waking_morning	phenotype		radio	DOES YOUR CHILD have a dry mouth on waking up in the morning?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_upset_stomach_night	phenotype		radio	DOES YOUR CHILD complain of an upset stomach at night?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_burning_throat_night	phenotype		radio	DOES YOUR CHILD get a burning feeling in the throat at night?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_grind_teeth_night	phenotype		radio	DOES YOUR CHILD grind his or her teeth at night?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_wet_bed	phenotype		radio	DOES YOUR CHILD occasionally wet the bed?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_sleep_walking	phenotype		radio	Has your child ever walked during sleep ("sleep walking")?	1, Yes | 0, No | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown	PX091502											
child_sleep_talking	phenotype		radio	Have you ever heard your child talk during sleep ("sleep talking")?	1, Yes | 0, No | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown	PX091502											
child_nightmare	phenotype		radio	Does your child have nightmares once a week or more on average?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_wake_up_screaming_night	phenotype		radio	Has your child ever woken up screaming during the night?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_neither_awake_asleep_ever	phenotype		radio	Has your child ever been moving or behaving, at night, in a way that made you think your child was neither completely awake nor asleep?	1, Yes | 0, No | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown	PX091502											
child_neither_awake_asleep_ever_desc	phenotype		text	If so, please describe what has happened:		PX091502					[child_neither_awake_asleep_ever] = 'UNDEFINED_CODE'						
child_difficulty_falling_asleep_night	phenotype		radio	Does your child have difficulty falling asleep at night?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_time_falling_asleep_night	phenotype		text	How long does it take your child to fall asleep at night? (a guess is O.K.)		PX091502	number										
child_bedtime_difficult_routines_rituals	phenotype		radio	At bedtime does your child usually have difficult "routines" or "rituals"  argue a lot, or otherwise behave badly?	1, Yes | 0, No | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown	PX091502											
child_bang_head_rock_body	phenotype		radio	DOES YOUR CHILD bang his or her head or rock his or her body when going to sleep?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_wake_multiple_times_night	phenotype		radio	DOES YOUR CHILD wake up more than twice a night on average?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_trouble_back_asleep_night	phenotype		radio	DOES YOUR CHILD have trouble falling back asleep if he or she wakes up at night?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_trouble_back_asleep_morning	phenotype		radio	DOES YOUR CHILD wake up early in the morning and have difficulty going back to sleep?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_bedtime_change_a_lot	phenotype		radio	Does the time at which your child goes to bed change a lot from day to day?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_get_up_change_a_lot	phenotype		radio	Does the time at which your child gets up from bed change a lot from day to day?	1, Yes | 0, No | -997, Truly unknown	PX091502											
time_child_bed_weekday	phenotype		text	WHAT TIME DOES YOUR CHILD USUALLY go to bed during the week?		PX091502											
time_child_bed_weekend_vacation	phenotype		text	WHAT TIME DOES YOUR CHILD USUALLY go to bed on the weekend or vacation?		PX091502											
time_child_get_up_weekday	phenotype		text	WHAT TIME DOES YOUR CHILD USUALLY get out of bed on weekday mornings?		PX091502											
time_child_get_up_weekend_vacation	phenotype		text	WHAT TIME DOES YOUR CHILD USUALLY get out of bed on weekend or vacation mornings?		PX091502											
child_wake_up_unrefreshed_morning	phenotype		radio	DOES YOUR CHILD wake up feeling unrefreshed in the morning?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_sleepiness_problem_day	phenotype		radio	DOES YOUR CHILD have a problem with sleepiness during the day?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_feel_sleepy_day	phenotype		radio	DOES YOUR CHILD complain that he or she feels sleepy during the day?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_appear_sleepy_day	phenotype		radio	Has a teacher or other supervisor commented that your child appears sleepy during the day?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_usually_nap_day	phenotype		radio	Does your child usually take a nap during the day?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_hard_wake_up_morning	phenotype		radio	Is it hard to wake your child up in the morning?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_wake_up_headache_morning	phenotype		radio	Does your child wake up with headaches in the morning?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_headache_more_once_month	phenotype		radio	Does your child get a headache at least once a month, on average?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_stop_growing_normal_rate	phenotype		radio	Did your child stop growing at a normal rate at any time since birth?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_stop_growing_normal_size_desc	phenotype		text	If so, please describe what happened:		PX091502					[child_stop_growing_normal_rate] = 'UNDEFINED_CODE'						
child_tonsils_remove	phenotype		radio	Does your child still have tonsils?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_tonsils_remove_date	phenotype		text	When were they removed?		PX091502	date_dmy				[child_tonsils_remove] = 'UNDEFINED_CODE_1'						
child_tonsils_remove_reason	phenotype		text	Why were they removed?		PX091502											
child_condition_difficulty_breathing_ever	phenotype		radio	HAS YOUR CHILD EVER had a condition causing difficulty with breathing?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_dif_breath_ever_desc	phenotype		text	If so, please describe:		PX091502					[child_condition_difficulty_breathing_ever] = 'UNDEFINED_CODE'						
child_surgery_ever	phenotype		radio	HAS YOUR CHILD EVER had surgery?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_difficulty_breathing_occur_surgery	phenotype		radio	Did any difficulties with breathing occur before, during, or after surgery?	1, Yes | 0, No | -997, Truly unknown	PX091502					[child_surgery_ever] = 'UNDEFINED_CODE'						
child_sudden_week_legs_ever	phenotype		radio	HAS YOUR CHILD EVER become suddenly weak in the legs, or anywhere else, after laughing or being surprised by something?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_unable_move_able_look_ever	phenotype		radio	HAS YOUR CHILD EVER felt unable to move for a short period, in bed, though awake and able to look around?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_irresistible_urge_nap	phenotype		radio	Has your child felt an irresistible urge to take a nap at times, forcing him or her to stop what he or she is doing in order to sleep?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_sense_dreaming_awake_ever	phenotype		radio	Has your child ever sensed that he or she was dreaming (seeing images or hearing sounds) while still awake?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_caffeinated_beverage	phenotype		radio	Does your child drink caffeinated beverages on a typical day (cola, tea, coffee)?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_caffeinated_beverage_quantity	phenotype		text	How many cups or cans per day?		PX091502	number				[child_caffeinated_beverage] = 'UNDEFINED_CODE'						
child_use_recreational_drug	phenotype		radio	Does your child use any recreational drugs?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_use_recreational_drug_list	phenotype		text	Which recreational drugs does your child use?		PX091502					[child_use_recreational_drug] = 'UNDEFINED_CODE'						
child_use_recreational_drug_frequency	phenotype		text	How often does your child use recreational drugs?		PX091502											
child_use_cigarette_tobacco	phenotype		radio	Does your child use cigarettes, smokeless tobacco, snuff, or other tobacco products?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_use_cigarette_tobacco_list	phenotype		text	Which tobacco products does your child use?		PX091502					[child_use_cigarette_tobacco] = 'UNDEFINED_CODE'						
child_use_cigarette_tobacco_frequency	phenotype		text	How often does your child use cigarettes, smokeless tobacco, snuff, or other tobacco products?		PX091502					[child_use_cigarette_tobacco] = 'UNDEFINED_CODE'						
child_overweight	phenotype		radio	Is your child overweight?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_overweight_first_age	phenotype		text	At what age did this first develop?		PX091502	number										
child_high_arched_palate_roof_mouth	phenotype		radio	Has a doctor ever told you that your child has a high-arched palate (roof of the mouth)?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_take_ritalin_ever	phenotype		radio	Has your child ever taken Ritalin (methylphenidate) for behavioral problems?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_add_adhd_ever	phenotype		radio	Has a health professional ever said that your child has attention-deficit disorder (ADD) or attention-deficit/hyperactivity disorder (ADHD)?	1, Yes | 0, No | -997, Truly unknown	PX091502											
child_medical_problem	phenotype		text	If you are currently at a clinic with your child to see a physician, what is the problem that brought you?		PX091502											
child_long_term_medical_problem_1	phenotype		text	If your child has long-term medical problems, please list the three you think are most significant.		PX091502											
child_long_term_medical_problem_2	phenotype		text	If your child has long-term medical problems, please list the three you think are most significant.		PX091502											
child_long_term_medical_problem_3	phenotype		text	If your child has long-term medical problems, please list the three you think are most significant.		PX091502											
inst2_091502	phenotype	Sleep apnea (Child Protocol) Current Medication	descriptive	Please list any medications your child currently takes		PX091502											
child_current_medication_medicine_1	phenotype		text	Medicine 1.		PX091502											
child_current_medication_dose_1	phenotype		text	Medicine 1 Size (mg) or amount per dose.		PX091502											
child_current_medication_frequency_taken_1	phenotype		text	Medicine 1Taken how often?		PX091502											
child_current_medication_date_taken_1	phenotype		notes	Medicine 1 Dates Taken.		PX091502											
child_current_medication_effect_1	phenotype		text	Medicine 1 Effect.		PX091502											
child_current_medication_medicine_2	phenotype		text	Medicine 2		PX091502											
child_current_medication_dose_2	phenotype		text	Medicine 2 Size (mg) or amount per dose.		PX091502											
child_current_medication_frequency_taken_2	phenotype		text	Medicine 2 Taken how often?		PX091502											
child_current_medication_date_taken_2	phenotype		notes	Medicine 2 Dates Taken.		PX091502											
child_current_medication_effect_2	phenotype		text	Medicine 2 Effect.		PX091502											
child_current_medication_medicine_3	phenotype		text	Medicine 3		PX091502											
child_current_medication_dose_3	phenotype		text	Medicine 3 Size (mg) or amount per dose.		PX091502											
child_current_medication_frequency_taken_3	phenotype		text	Medicine 3 Taken how often?		PX091502											
child_current_medication_date_taken_3	phenotype		notes	Medicine 3 Dates Taken.		PX091502											
child_current_medication_effect_3	phenotype		text	Medicine 3 Effect.		PX091502											
child_current_medication_medicine_4	phenotype		text	Medicine 4		PX091502											
child_current_medication_dose_4	phenotype		text	Medicine 4 Size (mg) or amount per dose.		PX091502											
child_current_medication_frequency_taken_4	phenotype		text	Medicine 4 Taken how often?		PX091502											
child_current_medication_date_taken_4	phenotype		notes	Medicine 4 Dates Taken.		PX091502											
child_current_medication_effect_4	phenotype		text	Medicine 4 Effect.		PX091502											
inst_past_med_091502	phenotype	Sleep apnea (Child Protocol)Past Medications	descriptive	Please list any medication your child has taken in the past if the purpose of the medication was to improve his or her behavior, attention, or sleep:		PX091502											
child_past_medication_medicine_1	phenotype		text	Medicine 1.		PX091502											
child_past_medication_dose_1	phenotype		text	Medicine 1 Size (mg) or amount per dose.		PX091502											
child_past_medication_frequency_taken_1	phenotype		text	Medicine 1Taken how often?		PX091502											
child_past_medication_date_taken_1	phenotype		text	Medicine 1 Dates Taken.		PX091502											
child_past_medication_effect_1	phenotype		text	Medicine 1 Effect.		PX091502											
child_past_medication_medicine_2	phenotype		text	Medicine 2		PX091502											
child_past_medication_dose_2	phenotype		text	Medicine 2 Size (mg) or amount per dose.		PX091502											
child_past_medication_frequency_taken_2	phenotype		text	Medicine 2 Taken how often?		PX091502											
child_past_medication_date_taken_2	phenotype		text	Medicine 2 Dates Taken.		PX091502											
child_past_medication_effect_2	phenotype		text	Medicine 2 Effect.		PX091502											
child_past_medication_medicine_3	phenotype		text	Medicine 3		PX091502											
child_past_medication_dose_3	phenotype		text	Medicine 3 Size (mg) or amount per dose.		PX091502											
child_past_medication_frequency_taken_3	phenotype		text	Medicine 3 Taken how often?		PX091502											
child_past_medication_date_taken_3	phenotype		text	Medicine 3 Dates Taken.		PX091502											
child_past_medication_effect_3	phenotype		text	Medicine 3 Effect.		PX091502											
child_past_medication_medicine_4	phenotype		text	Medicine 4		PX091502											
child_past_medication_dose_4	phenotype		text	Medicine 4 Size (mg) or amount per dose.		PX091502											
child_past_medication_frequency_taken_4	phenotype		text	Medicine 4 Taken how often?		PX091502											
child_past_medication_date_taken_4	phenotype		notes	Medicine 4 Dates Taken.		PX091502											
child_past_medication_effect_4	phenotype		text	Medicine 4 Effect.		PX091502											
child_sleep_disorder_diagnosis_1	phenotype		text	Please list any sleep disorders diagnosed or suspected by a physician in your child.		PX091502											
child_sleep_disorder_start_date_1	phenotype		text	The date the sleep disorder started?		PX091502	date_dmy										
child_sleep_disorder_still_present_1	phenotype		radio	Is the sleep disorder still present?	1, Yes | 0, No	PX091502											
child_sleep_disorder_diagnosis_2	phenotype		text	Please list any sleep disorders diagnosed or suspected by a physician in your child.		PX091502											
child_sleep_disorder_start_date_2	phenotype		text	The date the sleep disorder started?		PX091502	date_dmy										
child_sleep_disorder_still_present_2	phenotype		radio	Is the sleep disorder still present?	1, Yes | 0, No	PX091502											
child_sleep_disorder_diagnosis_3	phenotype		text	Please list any sleep disorders diagnosed or suspected by a physician in your child.		PX091502											
child_sleep_disorder_start_date_3	phenotype		text	The date the sleep disorder started?		PX091502	date_dmy										
child_sleep_disorder_still_present_3	phenotype		radio	Is the sleep disorder still present?	1, Yes | 0, No	PX091502											
child_sleep_disorder_diagnosis_4	phenotype		text	Please list any sleep disorders diagnosed or suspected by a physician in your child.		PX091502											
child_sleep_disorder_start_date_4	phenotype		text	The date the sleep disorder started?		PX091502	date_dmy										
child_sleep_disorder_still_present_4	phenotype		radio	Is the sleep disorder still present?	1, Yes | 0, No	PX091502											
child_psychological_psychiatric_behavior_diagnosis_1	phenotype		text	Please list any psychological, psychiatric, emotional, or behavioral problems diagnosed or suspected by a physician in your child.		PX091502											
child_psychological_psychiatric_behavior_start_date_1	phenotype		text	The date the psychological, psychiatric, emotional, or behavioral problem started?		PX091502	date_dmy										
child_psychological_psychiatric_behavior_still_present_1	phenotype		radio	Is the psychological, psychiatric, emotional, or behavioral problem still present?	1, Yes | 0, No	PX091502											
child_psychological_psychiatric_behavior_diagnosis_2	phenotype		text	Please list any psychological, psychiatric, emotional, or behavioral problems diagnosed or suspected by a physician in your child.		PX091502											
child_psychological_psychiatric_behavior_start_date_2	phenotype		text	The date the psychological, psychiatric, emotional, or behavioral problem started?		PX091502	date_dmy										
child_psychological_psychiatric_behavior_still_present_2	phenotype		radio	Is the psychological, psychiatric, emotional, or behavioral problem still present?	1, Yes | 0, No	PX091502											
child_psychological_psychiatric_behavior_diagnosis_3	phenotype		text	Please list any psychological, psychiatric, emotional, or behavioral problems diagnosed or suspected by a physician in your child.		PX091502											
child_psychological_psychiatric_behavior_start_date_3	phenotype		text	The date the psychological, psychiatric, emotional, or behavioral problem started?		PX091502	date_dmy										
child_psychological_psychiatric_behavior_still_present_3	phenotype		radio	Is the psychological, psychiatric, emotional, or behavioral problem still present?	1, Yes | 0, No	PX091502											
child_psychological_psychiatric_behavior_diagnosis_4	phenotype		text	Please list any psychological, psychiatric, emotional, or behavioral problems diagnosed or suspected by a physician in your child.		PX091502											
child_psychological_psychiatric_behavior_start_date_4	phenotype		text	The date the psychological, psychiatric, emotional, or behavioral problem started?		PX091502	date_dmy										
child_psychological_psychiatric_behavior_still_present_4	phenotype		radio	Is the psychological, psychiatric, emotional, or behavioral problem still present?	1, Yes | 0, No	PX091502											
inst54_091502	phenotype		descriptive	Please list any sleep or behavior disorders diagnosed or suspected in your child's brothers, sisters, or parents:		PX091502											
sleep_behavior_disorder_relative_1	phenotype		text	Relative 1		PX091502											
sleep_behavior_disorder_condition_1	phenotype		text	Condition 1		PX091502											
sleep_behavior_disorder_relative_2	phenotype		text	Relative 2		PX091502											
sleep_behavior_disorder_condition_2	phenotype		text	Condition 2		PX091502											
sleep_behavior_disorder_relative_3	phenotype		text	Relative 3		PX091502											
sleep_behavior_disorder_condition_3	phenotype		text	Condition 3		PX091502											
